x,ca,cb,cc
1.46,0.092650244,0.896821294,0.010528462
1.47,0.091714568,0.897749068,0.010536364
1.48,0.090798286,0.898657785,0.010543929
1.49,0.089900996,0.899547842,0.010551162
1.5,0.089022306,0.900419623,0.010558071
1.51,0.088161832,0.901273508,0.01056466
1.52,0.087319195,0.902109868,0.010570937
1.53,0.086494027,0.902929066,0.010576907
1.54,0.085685966,0.903731457,0.010582577
1.55,0.084894658,0.90451739,0.010587951
1.56,0.084119757,0.905287206,0.010593037
1.57,0.083360922,0.906041239,0.010597839
1.58,0.08261782,0.906779817,0.010602363
1.59,0.081890126,0.907503259,0.010606615
1.6,0.081177521,0.90821188,0.0106106
1.61,0.080479692,0.908905985,0.010614323
1.62,0.079796334,0.909585876,0.01061779
1.63,0.079127147,0.910251847,0.010621006
1.64,0.078471836,0.910904188,0.010623976
1.65,0.077830115,0.91154318,0.010626705
1.66,0.077201702,0.9121691,0.010629199
1.67,0.07658632,0.912782219,0.010631461
1.68,0.0759837,0.913382803,0.010633497
1.69,0.075393578,0.913971111,0.010635311
1.7,0.074815693,0.914547398,0.010636908
1.71,0.074249794,0.915111912,0.010638294
1.72,0.073695631,0.915664898,0.010639471
1.73,0.07315296,0.916206595,0.010640445
1.74,0.072621544,0.916737235,0.01064122
1.75,0.07210115,0.91725705,0.010641801
1.76,0.071591547,0.917766262,0.010642191
1.77,0.071092513,0.918265092,0.010642395
1.78,0.070603828,0.918753755,0.010642417
1.79,0.070125278,0.919232461,0.01064226
1.8,0.069656653,0.919701417,0.01064193
1.81,0.069197746,0.920160825,0.010641429
1.82,0.068748355,0.920610883,0.010640762
1.83,0.068308284,0.921051783,0.010639932
1.84,0.067877339,0.921483717,0.010638944
1.85,0.06745533,0.92190687,0.0106378
1.86,0.067042072,0.922321424,0.010636504
1.87,0.066637383,0.922727556,0.010635061
1.88,0.066241085,0.923125442,0.010633472
1.89,0.065853005,0.923515253,0.010631743
1.9,0.06547297,0.923897154,0.010629875
1.91,0.065100816,0.924271311,0.010627873
1.92,0.064736376,0.924637884,0.01062574
1.93,0.064379493,0.924997029,0.010623478
1.94,0.064030007,0.925348901,0.010621092
1.95,0.063687767,0.92569365,0.010618583
1.96,0.063352621,0.926031424,0.010615955
1.97,0.063024422,0.926362366,0.010613212
1.98,0.062703026,0.926686619,0.010610355
1.99,0.062388291,0.927004321,0.010607388
2,0.062080079,0.927315608,0.010604313
2.01,0.061778254,0.927620612,0.010601134
2.02,0.061482684,0.927919463,0.010597853
2.03,0.061193238,0.928212289,0.010594473
2.04,0.06090979,0.928499215,0.010590995
2.05,0.060632214,0.928780362,0.010587424
2.06,0.060360389,0.92905585,0.010583761
2.07,0.060094194,0.929325797,0.010580009
2.08,0.059833514,0.929590316,0.01057617
2.09,0.059578233,0.92984952,0.010572247
2.1,0.05932824,0.930103519,0.010568242
2.11,0.059083423,0.93035242,0.010564157
2.12,0.058843676,0.93059633,0.010559994
2.13,0.058608893,0.930835351,0.010555756
2.14,0.058378971,0.931069584,0.010551445
